Screaming Circuits SMD component position file.

Centroid Data for pc board: "sensorfly_boardonly.brd" as of: 2/15/12 5:25 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
B1,Top,0.526,1.075,270
C1,Top,1.151,1.075,90
C2,Top,1.133,1.243,90
C3,Top,1.934,0.784,90
C4,Bottom,1.263,1.172,180
C5,Top,1.251,0.987,180
C6,Top,2.002,0.898,90
C7,Top,1.793,1.081,180
C8,Top,0.516,1.172,270
C9,Top,0.483,0.977,270
C10,Top,0.548,0.977,270
C11,Bottom,0.631,1.182,270
C12,Top,0.636,1.153,180
C13,Bottom,0.692,0.752,270
C14,Bottom,0.725,1.207,180
C15,Bottom,0.598,0.766,180
C16,Bottom,0.599,0.717,180
C17,Top,0.679,1.204,180
C18,Top,1.003,0.841,90
C19,Top,0.743,0.712,0
C20,Top,0.528,1.274,180
C21,Top,1.806,1.205,0
C22,Top,2.107,1.215,180
C23,Top,1.426,1.138,90
C24,Bottom,1.118,1.239,90
D1,Bottom,2.096,1.208,0
D2,Top,0.972,0.711,90
D3,Bottom,1.269,0.915,270
D4,Bottom,1.825,1.203,180
D5,Top,1.035,0.916,90
J3,Bottom,1.890,1.010,270
J4,Bottom,1.703,1.010,270
J5,Bottom,0.916,1.159,180
R1,Top,0.864,0.713,0
R2,Bottom,1.290,1.008,90
R3,Bottom,1.358,1.153,90
R4,Top,1.714,1.286,0
R5,Top,2.075,1.152,180
R6,Top,1.850,1.142,0
R7,Top,1.062,0.841,270
R8,Top,2.068,0.719,0
R9,Top,2.068,0.778,0
R10,Top,1.030,0.761,180
R11,Top,0.519,0.867,0
R12,Top,1.116,0.713,180
S1,Top,0.923,1.258,180
S2,Top,1.320,0.804,0
U1,Top,1.244,1.102,180
U2,Bottom,1.204,1.034,0
U3,Top,1.716,0.782,270
U4,Top,0.769,0.931,0
U5,Top,1.578,1.187,0
U6,Top,1.956,1.158,0
Y1,Top,0.206,1.000,180
